Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Favell A.","6602382890;","Creative East-West cosmopolitanism?: The changing role of international mobility for young Japanese contemporary artists",2014,"Transnational Trajectories in East Asia: Nation, Citizenship, and Region",,,,"83","105",,,"10.4324/9781315744599-14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087709600&doi=10.4324%2f9781315744599-14&partnerID=40&md5=9b3ce874621ad11a3a2ce75c61aa1115","Sciences Po, Japan","Favell, A., Sciences Po, Japan","As with other facets of social change, innovation and creativity explored in this volume-such as science and technology, education, cuisine, youth orientations, gender identities-the rise of distinctive new contemporary art from East Asia offers possibilities for exploring the interaction of the local, the national, the regional and the global, in a particular field of cultural production and from new world perspectives. My chapter offers another angle on the “transnational trajectories” in East Asia by considering the cross-border dynamics of Japanese modern and contemporary art-and particularly the international mobility of artists-as part of an Asian-led cultural globalization. It is widely accepted that the economic rise of Asia in recent decades has in effect produced an alternative Asian modernity (or modernities) that is capable of challenging American and European global hegemony, not only economically or politically, but also in terms of cultural production. In this, clearly, Japan was a leader (see, for example, Clammer 1997). Having absorbed the Western lessons of modernization in its emergence as a modern nation state in the early part of the twentieth century, and then as a global economic power from the 1960s onwards, in the 1970s and 1980s it began to produce innovative and distinctive variations on modern global culture that swept through both regional and global markets (Iwabuchi 2002, Moeran 2000). Japan became a globally visible producer of new culture, not only in terms of the wildly popular culture of anime (animated cartoons), manga (comics), tv and film, toys, electronic games, and brand characters-Godzilla, Pokemon, Hello Kitty, and all that (Allison 2006, Kelts 2006)-but also the “high culture” branches of, for example, contemporary design, catwalk fashion, and architecture (Japan Foundation 2008, Kawamura 2004, Koolhaas and Obrist 2011). Japan in effect patented a model of Asian modernity that, in the 1990s and 2000s, has become a path for others: pop culture from Hong Kong, K-Pop from Korea, Singapore or Taipei as creative cities and, above all, the rise of China. The production, consumption, and appreciation of contemporary art from Asia is another key index of this so-called “world class” modernity. In the 1990s and 2000s, indeed, it might be argued that contemporary art became the quintessential global high culture, a form of culture itself very characteristic of the era’s global capitalism. The globalization of contemporary art produced an apparently borderless global art world that stretched from the auction halls of New York and London, via the high art temples of MOMA, Tate and Pompidou, to the new museums of Istanbul and Dubai, and the biennials and art fairs of East Asia. In parallel with the deregulated markets and finance knocking down national borders, the free-spirited avant garde intellectual discourse of artists and art curators complimented perfectly the free-moving money of venture capitalists who bought the works or built the museums (Stallabrass 2004). Amidst a vast inflationary boom, contemporary art became the calling card for newly rich oligarchs in emerging economies everywhere, as well as the signature form of city branding for “global cities” the world over. It might even be argued-as captured beautifully in the ethnography of this world by Sarah Thornton (2008)-that contemporary art became a truly sublime form of the global, approaching a new religion for the secular, atheist, “post-modern” elites that followed and believed in it. Part of this story was an Asian art boom as the world discovered new Asian art and artists, a boom unquestionably centered on Chinese artists but which progressively involved many other sources of origin (Chiu and Genocchio 2010, Ciotti 2012, Philipsen 2008, Vine 2011). The presence of Asian artists on the global market and the curatorial and museum prestige which has been invested in their works, alongside the physical location of many huge global events (such as art fairs and auctions in Hong Kong, or biennials in Shanghai and Singapore), might be seen simply as affirming the rise of a truly de-centered, de-colonized contemporary world or global art sensibility; something that might be identified with the “cosmopolitan imagination” identified by recent critical social theory (Delanty 2009, Papastergiadis 2012). Western art history as a discipline has been very slow to question its own ethnocentric assumptions, but in the wake of this world art boom, there has been a veritable deluge of reflection in these terms on globalization in art theory (Harris 2011). This reflection was, of course, the back end of the post-colonial critique which swept across the humanities since the 1960s. Yet the self-styled “cosmopolitan” global art of the 1990s and 2000s was at the same so patently anchored in the economic liberalism of rampant global capitalism of that era (see also Kofman 2005). As the sublime, utopian form of these material global forces, contemporary art could-to echo the famous works of Hardt and Negri (2001, 2005)-in effect unify both “empire” and “multitude” in the critical discourses of the free-moving global curators who very self-consciously selected, promoted and put (extraordinary) value on the art from new, non-Western sources. The most fashionable Asian artists might slam global capitalism or evoke universal environmental ideals, but those selected for stardom on the global art market or museum circuit often looked very similar as they were presented for global consumption. Superstar new Asian artists such as the Chinese Ai Weiwei or the Indian Subodh Gupta were always positioned as liberal, cosmopolitan heroes, critiquing the forces of modernization sweeping their countries as well as their restrictive political regimes, yet producing very nationally specific icons and images of their home countries that could be easily packaged into simple sociological lessons about exotic (and sometimes still dangerous) locations to curious Western viewers and buyers. The cosmopolitanism of the new global art, and its selective presentation, may thus easily be questioned as a sophisticated new form of orientalism that was not challenging the global order anywhere near as radically as supposed. Behind the apparently free-flowing global circuit, for all the new Asian talent it could also be seen that the personnel powering this world-the institutional “art power” of top curators, dealers, collectors and art writers-were still as solidly as ever anchored in the usual Western hub locations (Quemin 2006). The story with global contemporary art in East Asia, though, is complicated by the positioning of Japan in this picture. Japanese artists were among the first to be presented as part of the “discovery” of world art in the late 1980s, a moment usually linked with the famous Magiciens de la Terre show, curated by Jean-Hubert Martin at the Pompidou, Paris in 1989 (McLean 2011). Yet although a vibrant commercial and conceptual contemporary art scene has continued to develop in Japan during the next two decades, Japanese contemporary artists have been surprisingly marginal to the Asian art boom in global art. This is a long and complex story, but it is largely because the Western global curators have been unable to get in to Japan and shape the contemporary art scene as they have in China. With one or two notable exceptions, then, Japanese artists have been neglected in global art history narratives of the 1990s and 2000s. The perfect evidence is the canonical handbook of modern Western art history, Art Since 1900, edited by the five ruling modern art historians of the East Coast Ivy League: Hal Foster, Rosalind Krauss, Yve-Alain Bois, Benjamin H. D. Buchloh, and David Joselit (Foster et al. 2011). Only one Japanese contemporary artist since the 1960s is discussed. That artist is, of course, Takashi Murakami: Japan’s version of Ai Weiwei or Subodh Gupta, Japan’s only true global superstar artist since 1990, who is central to my story below. The dominant Western narrative is, to say the least, not a representative history from a Japanese point of view (Favell 2012).1 And despite all the talk about global art and cosmopolitan sensibilities, the “national” point of view is still very relevant here because it does not align with the global view. This in fact is also a peculiarly distinct feature of Japanese contemporary art in comparison to other Asian countries, whose art has been assimilated more easily into global art theories and narratives. At the same time, Japan’s relative neglect is also symptomatic of the Japanese art world’s long history of self-understanding and positioning in relation to Western modernity (Clark 1998). The story of Japanese modern and contemporary art in relation to transnational flows and mobilities indeed reveals an ambivalent globalization. It suggests that, in this field of cultural production at least, Japan has preserved a certain independence, less obviously dominated or colonized by global forces. And that by analyzing the international mobility of Japanese artists it is possible to chart the changing forms of both cosmopolitanism and nationhood in the ways their experiences have been expressed through artistic forms. The chapter proceeds as follows. In the first section, I take the story back to the historical pre-World War Two origins of modernist Japanese art, tracing the role of self-positioning in relation to Western modernity and the dynamics of international mobility and return in international Japanese artists’ careers. This introduces the notion of the gaisen ko-en (the “triumphant return performance”)- that is, the acclaim at home after perceived success on a tour abroad-which has hitherto always been thought necessary to cement a Japanese artist’s international (i.e. “world class”) reputation. Along the way, the story introduces a number of the most famous figures in Japanese modern and contemporary art from different periods in relation to our broader themes. These distinct generations can be thought of as cohorts who have varying interactions with their global and national contexts, thus revealing how forms of cosmopolitanism and nationhood have changed over time. It also lays a groundwork to understand the problematic evolution of the Japanese modern art tradition and art world institutions and assess the effects of their domination and resistance up to and through into the global art era from the late 1980s onwards. In the second main section, I shift to the younger “post-Bubble” or “zero zero generation” who came of age amidst the economic decline, social malaise and shattering disasters of Japan in the mid-to late 1990s. Their evaluation as emergent artists is not as yet settled-neither in Japan nor internationally. Japan in the 1990s and after experienced economic hardship and global contraction while the rest of the world, in particular the rest of Asia, was going through a development boom. I suggest that this disjuncture with world trends has caused important changes in the dynamics of influence and recognition on the part of these younger Japanese artists in a global context. While they have been largely ignored by the mainstream global art world, the need for the gaisen ko-en in their work is arguably being transcended. The argument is that the qualitative change of Japan from being a rising Asian power and alternate modernity to one pioneering forms of post-Bubble, post-growth society, has largely confounded dominant Western understandings of this new Asian culture. These understandings assume a modernizing developmental paradigm and create their narratives of artistic importance accordingly: essentially in terms of global market value and “political” art theoretical interest-and hence as a “challenge” to the West. But what works for China and India does not work for Japan. Rather, the new post-Bubble generation offers a different way of pinpointing how East Asian society and culture may interact with regional and global forces or embody the national and transnational in a post-growth future. © 2015 Yasemin Nuhoglu Soysal.",,,Book Chapter,"Final","",Scopus,2-s2.0-85087709600
"Bell K.","7401917238;","Degrowth for sustainability, equality and poverty reduction: Some lessons from Cuba",2014,"International Handbook on Social Policy and The Environment",,,,"249","273",,1,"10.4337/9780857936134.00016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957672066&doi=10.4337%2f9780857936134.00016&partnerID=40&md5=4684d91d90e30f5f220f7100ee0a60fc","School for Policy Studies, Bristol University, Bristol, United Kingdom","Bell, K., School for Policy Studies, Bristol University, Bristol, United Kingdom","Increased economic growth has been widely and consistently advocated as a solution to poverty and inequality. Yet many environmentalists are opposed to limitless growth on the grounds that it is ecologically unsustainable. In particular, the 'degrowth' movement that has recently emerged in Northern Europe has challenged the paradigm of growth, promoting instead an alternative agenda of reducing production and consumption in order to attain sustainability and social justice. Yet, ironically, the rise of the degrowth movement has coincided with a severe economic recession in the wealthier countries and the result of this does, indeed, seem to have increased hardship and inequity as businesses collapse and jobs are lost (e.g., see JRF 2012). This situation forces us to consider whether degrowth is feasible in a market economy, which appears to depend on growth; and if not, what this tells us about the macro-policies necessary to become an equal, just and, at the same time, ecological society. © Tony Fitzpatrick 2014. All rights reserved.",,,Book Chapter,"Final","",Scopus,2-s2.0-84957672066
"Schulz C.","55222420600;","Post-growth economies: Object or non-object for economic geography? [Les économies de l'après-croissance : Objet ou non-objet pour la géographie économique ?]",2014,"BSGLg","62","1",,"63","73",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906510847&partnerID=40&md5=d7c0748097369ea118b326a526ab5ba7","Université du Luxembourg, Institut de Géographie et D'aménagement du Territoire, B.P. 2, L-7201 Walferdange, Luxembourg","Schulz, C., Université du Luxembourg, Institut de Géographie et D'aménagement du Territoire, B.P. 2, L-7201 Walferdange, Luxembourg","While mainstream economic geography is increasingly doing research on green manufacturing and services, its conceptual approaches merely continue relying on traditional growth paradigms. The paper confronts the partly neo-liberal discourses on the ""green economy"" and ""smart growth"" with the more critical contributions on post-growth economies. Based on seminal studies of scholars such as Tim Jackson or Serge Latouche, the major aim of the paper is to reveal potential research topics and opportunities for both empirical and conceptual contributions economic geographers could feed into the broader academic and societal debates on economic transition and post-growth paradigms. Particular attention will be paid to approaches currently discussed in economic geography such as social studies of technology, regional transitions and innovation systems.","De-growth; Environmental economic geography; Green economy; Post-growth; Sustainability transitions",,Article,"Final","",Scopus,2-s2.0-84906510847
"Zito F.","55960815900;","Le teorie della decrescita e le nuove forme di comunitarismo",2013,"Sociologia (Italy)","47","2",,"90","100",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890047875&partnerID=40&md5=8374a337830ac89fbad087c66b4e05db",,"Zito, F.","Degrowth is getting more and more topical lately. Its theories are many and they have several points of view, from ecological issues to economics, from anti-consumerism to anti-globalization movements. However, beyond thinkers and activists reflections, many groups of individuals have already gathered in its name and started to put at least some of those theories into practice, sometimes for many years. This sort of unions and intentional communities has spread and keeps growing all over the world, especially in the most industrialized countries. This short essay aims to identify the main features of these new forms of communes and analyze if and how they are related to degrowth and gift economy paradigms.",,,Article,"Final","",Scopus,2-s2.0-84890047875
"Montanari A.","55960620700;","Neo-liberismo e neo-comunitarismo",2013,"Sociologia (Italy)","47","2",,"5","13",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890018402&partnerID=40&md5=5d0f1103a33319cdf736eeb07f81b864",,"Montanari, A.","The economic and financial crisis, occurred in the last years, has challenged the capitalist paradigm that, protagonist of the story in the nineties, is now definitely under indictment. To conspicuous consumption and individualistic needs is going to be replaced a system based on cooperation, sharing, and on the gift. The mythology that in recent decades has been built on the values as freedom o f action, individual capacity and personal economic success, is overtaken by different theories such as those on the common good and on degrowth, claiming direct participation of the citizens in collective decisions, use of resources, and the implementation of new economic models.",,,Article,"Final","",Scopus,2-s2.0-84890018402
"Candiago N.","56339925900;","The virtuous circle of degrowth and ecological debt: A new paradigm for public international law?",2013,"Confronting Ecological and Economic Collapse: Ecological Integrity for Law, Policy and Human Rights",,,,"215","225",,1,"10.4324/9780203384022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906646854&doi=10.4324%2f9780203384022&partnerID=40&md5=5df408272519b224bd898c980dcc6d0a",,"Candiago, N.",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-84906646854
"Järvensivu P.","36470298000;","Transforming market-nature relations through an investigative practice",2013,"Ecological Economics","95",,,"197","205",,7,"10.1016/j.ecolecon.2013.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884950688&doi=10.1016%2fj.ecolecon.2013.09.003&partnerID=40&md5=3bde8b42bb61e3762f889d89dbf2f165","Aalto University School of Business, Corporate Environmental and Social Responsibility Research Group, CESR, P.O. Box 21230, FI-00076 Aalto, Finland","Järvensivu, P., Aalto University School of Business, Corporate Environmental and Social Responsibility Research Group, CESR, P.O. Box 21230, FI-00076 Aalto, Finland","Degrowth theorists and practitioners have challenged the economic growth paradigm and sought for economic, cultural and political alternatives that would respect the planetary boundaries. Their strategy has generally been to either reject the formal market system as a whole and experiment with alternative practices outside markets or suggest changes in the policies that regulate markets. They have paid less attention to potential changes in market cultures. This paper seeks to foster the cultural transformation of current market-nature relations while retaining the radical core of degrowth. The paper presents an investigative practice that was found in an ethnographic study of an evolving forest-based market in Finland. The practice seems to have the potential to disrupt habitual ways of approaching nature and of turning it into exchangeable and consumable objects. According to practice theory, this kind of disruption creates space for emerging alternatives to the dominant practices. In this sense, the investigative practice works similarly to an environmental shock, without the harmful material effects. In addition, the investigative practice involves a critical approach that supports a transition toward sustainable market-nature relations. © 2013 Elsevier B.V.","Degrowth; Market practices; Market-nature relations; Practice theory","ecological economics; economic growth; environmental policy; market conditions; market system; paradigm shift; sustainable development; Finland",Article,"Final","",Scopus,2-s2.0-84884950688
"Chen Y.","55874498600;","The resurrection of the public authorship in the creative process of the common places [La Resurrección del Público en la Autoría de los Procesos Creativos en los Espacios Procomunes]",2013,"Arte, Individuo y Sociedad","25","3",,"508","523",,1,"10.5209/rev-ARIS.2013.v25.n3.40706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885047913&doi=10.5209%2frev-ARIS.2013.v25.n3.40706&partnerID=40&md5=7fabe55bd64be3d0fc1760ef862493b2","Facultad de Bellas Artes, Universidad Complutense de Madrid, Spain","Chen, Y., Facultad de Bellas Artes, Universidad Complutense de Madrid, Spain","""The resurrection of the public authorship in the creative process"" is a concept that I want to propose. It is a concept developed based on the theory of sensitivity. It's about the rise of satisfaction, which we understand as aesthetic experience which every individual perceives and creates. Unlike the arts which tend to be predefined and shaped by the past such as architecture, sculpture, painting, music, poetry, etc., the aesthetic experience is another artistic form closer to our daily experiences. Currently this way of understanding the art exists in many Common Places, such as self-run autonomous social centers and urban gardens. To construct an epistemology of this phenomenon in aesthetic study, we must use the paradigm ""symptom-paradigms-styles-examples"", constituting the knowledge from the social context and from the internal analysis about how the thoughts and the actions bring power to all individuals. From this reflection, this essay shows how this social model makes everyone be artist. This paper reconsiders the internal analysis of aesthetic experience through texts and reflections of Hegel, Schiller and Dewey, in which they had previously debated the spirit of the artisan. Finally, I reason how spaces created in this way have a social impact, since lately many ideas related to the concept of Degrowth and ""transition town"" movements have emerged.","Aesthetic experience; Common places; Self-run autonomous social centers; Spirit of artisan; Urban farming",,Article,"Final","",Scopus,2-s2.0-84885047913
"Fioramonti L., Thümler E.","6507472526;55165395000;","Accountability, Democracy, and Post-growth: Civil Society Rethinking Political Economy and Finance",2013,"Journal of Civil Society","9","2",,"117","128",,4,"10.1080/17448689.2013.788923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878633057&doi=10.1080%2f17448689.2013.788923&partnerID=40&md5=c0c62d51d6e8bc81184f0c9fe84692f3","Department of Political Sciences, Centre for the Study of Governance Innovation, University of Pretoria, 0002 Pretoria, South Africa; Centre for Social Investment, Heidelberg University, Heidelberg, Germany","Fioramonti, L., Department of Political Sciences, Centre for the Study of Governance Innovation, University of Pretoria, 0002 Pretoria, South Africa; Thümler, E., Centre for Social Investment, Heidelberg University, Heidelberg, Germany","Since the fall of the investment bank Lehman Brothers, the economic downturn has taken a heavy toll on many countries. In the public and academic discourse on necessary remedies and reforms, the spotlight is on the role of political elites and business. The actual and potential role of civil society is hardly mentioned in these debates. Yet, it is within civil society that an alternative paradigm and fundamental rethinking of conventional wisdom may emerge. In this collection, we present three different ways to frame the crisis and explore the corresponding roles of civil society actors: Reinforcing public accountability, regaining democracy, and exploring post-growth scenarios. Our goal is to investigate the potentially transformative role of civil society in order to reflect on possible paths towards social change that are not merely remedial but also (re-)constructive in nature. © 2013 Copyright Taylor and Francis Group, LLC.","accountability; civil society; degrowth; democracy; Economic crisis; financial markets; philanthropy; social change",,Editorial,"Final","",Scopus,2-s2.0-84878633057
"Candiago N.","56339925900;","The virtuous circle of degrowth and ecological debt: A new paradigm for public international law?",2013,"Confronting Ecological and Economic Collapse: Ecological Integrity for Law, Policy and Human Rights",,,,"215","225",,,"10.4324/9780203384022-27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121882767&doi=10.4324%2f9780203384022-27&partnerID=40&md5=5094e48c2e9b8dd5cbb111046c0695da","University of La Rochelle, France","Candiago, N., University of La Rochelle, France","The seventh G20 was hosted by Mexico in Los Cabos on 18-19 June 2012. After the USA, the UK, France and South Korea all rated as ‘developed’, ‘high-income’ countries, it was for the first time a developing country’s turn to direct the Leader’s Summit. However, the resulting response put forward as an answer to the global world issues remained unchanged and univocal: growth, growth, growth.1 The mainstream discourse of international politics is fostering merchandising, markets, finance, competition, which could all be regarded as basically capitalistic values, hoping that the magic trickledown effect is going to raise standards of living everywhere and for everybody. Public international law is no exception to this trend. What has been called ‘development law’ since the 1960s, specifically applicable to ‘underdeveloped countries’, is an illustration of this evolution towards a global capitalist order always seeking to produce and consume more. Its ideology rests on Rostow’s take-off theory, according to which every country should follow the great path of evolution of ‘first world’ countries and ‘grow’ towards a society of mass consumption and productivism - what we would call a ‘growth society’ or ‘society of growth’ (Rostow, 1960). © 2013 Laura Westra, Prue Taylor and Agnès Michelot, selection and editorial material.",,,Book Chapter,"Final","",Scopus,2-s2.0-85121882767
"Schlauch M., Palmisano G.","56195664600;56195580100;","The transition from the neoclassical growth model to ecology",2013,"Journal of Environmental Management and Tourism","4","1",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901914724&partnerID=40&md5=446860c6be34a5b50d9daffecf35c334",,"Schlauch, M.; Palmisano, G.","This paper examines the assumptions and conclusions of the neoclassical growth model put forth by Solow and many others. We investigate the origins of the paradigm of unlimited growth and technological progress and question their plausibility. In contrast, we develop a modified version of the neoclassical growth model where we consider non-human, environmental resources such as energy as an additional input factor and recognize their limited capacity to recover from human impact. Surprisingly, the same mathematical framework of the neoclassical growth model gets to the opposite conclusions - namely that long term growth cannot exceed a level in which nature begins to deplete. Growth further that level as we might experience today leads to natural and economic disaster. Technological progress understood as productivity increase can only delay but not prevent this crisis. We compare these conclusions to the opposite hypothesis of the Environmental Kuznets Curve. Also we show how this model can lead to a greater understanding of present or future observations that are connected to environmental deficiency, such as social divergence and stagnating life satisfaction in developed countries.","Degrowth; Ecological economics; Environmental Kuznets curve; Growth; Limits of growth; Neoclassical growth model",,Article,"Final","",Scopus,2-s2.0-84901914724
"Satrustegui K.U.","55880450700;","Degrowth and BuenVivir, Converging paradigms? Debates on the post-development in Europe and Latin America [Decrecimiento y Buen Vivir ¿Paradigmas convergentes? Debates sobre el postdes arrollo en Europa y América Latina]",2013,"Revista de Economia Mundial",,"35",,"197","216",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892977343&partnerID=40&md5=e6f9acbeda7579032aa2b33bdd190790","Instituto Hegoa, Universidad del País Vasco UPV/EHU, Spain","Satrustegui, K.U., Instituto Hegoa, Universidad del País Vasco UPV/EHU, Spain","Debates on post-development continue to occupy a prominent place both within the academic and social spheres. Within this context, post-development approaches such as Buen Vivir - which emerged in Andean America - and degrowth - originating initially in Europe and specifically in France - are usually treated as equivalent proposals that share the same ground and represent similar alternatives. This work, interrogating the relevant literature on both approaches, investigates the reality of this assumption, analyzing the scope of possible convergences and/or divergences between them.","BuenVivir; Degrowth; Post-development",,Article,"Final","",Scopus,2-s2.0-84892977343
"Gustave Speth J.","55974000300;","Beyond the growth paradigm: Creating a unified progressive politics",2013,"Development (Basingstoke)","56","2",,"202","207",,,"10.1057/dev.2013.21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890931847&doi=10.1057%2fdev.2013.21&partnerID=40&md5=38f732679d0de2209869bef98459ffe0",,"Gustave Speth, J.","Over the past century, the United States has played a leading role in the global economic system, as the largest economy, financial hub, and development model. However, the US political economy is failing across a broad front - environmental, social, economical, and political - which affects the prospects for sustainable development in the world at large. The restoration of global sustainable development will require deep, systemic changes, especially in the world's leading economy, to transition to a new economic system in which the acknowledged priority is to sustain human and natural communities. Policies are available to effect this transformation and to temper economic growth and consumerism while simultaneously improving social well-being and quality of life, but a new politics involving a coalescence of progressive communities is needed to realize these policies. Given the national focus of political action, this article focuses on the US political economy. On the key issue of economic growth, differing positions among American liberals and environmentalists loom, a major barrier to progressive fusion. This article proposes a starting point for forging a common platform and agenda around which both liberals and environmentalists can rally. © 2013 Society for International Development 1011-6370/13.","For benefit businesses; Local living economies; Post-growth society; Sustainable human development","economic growth; environmental economics; political economy; sustainability; sustainable development; United States",Article,"Final","",Scopus,2-s2.0-84890931847
"Gilmore B.","55830214000;","The world is yours: ""Degrowth"", racial inequality and sustainability",2013,"Sustainability (Switzerland)","5","3",,"1282","1303",,2,"10.3390/su5031282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882653586&doi=10.3390%2fsu5031282&partnerID=40&md5=4d25602784d7b969a4c06bcfcb3a2dda","College of Law, Michigan State University, 610 Abbott Road, East Lansing, MI 48823, United States","Gilmore, B., College of Law, Michigan State University, 610 Abbott Road, East Lansing, MI 48823, United States","In French economist Serge Latouche's 2009 book, Farewell to Growth, Latouche discusses ""degrowth"" in great detail, but he also explains how racial bias (and bias in general) in the world today has no place in a post-GDP world that embraces the principles outlined in ""degrowth"" or, as he calls it, décroissance. Latouche writes in Farewell to Growth that ""we resist, and must resist all forms of racism and discrimination (skin color, sex, religion, ethnicity)"", biases he insist are ""all too common in the West today."" Latouche's ideas are important for considering ""degrowth"", because racial bias and the historical problems presented by that bias, in the United States, continues despite efforts to address it in a significant manner. The World is Yours discusses ""degrowth"" economic growth and racial inequality, seeking to not only provide a better understanding of the recent social, legal and political meaning of these terms, but also the difficulties presented by these ideas today in a world increasingly committed to economic growth, even at the expense of human existence. How can a new economic paradigm be pursued that is more sustainable? Will African-Americans and other groups of color and nations of color accept ""degrowth"" if the US begins to implement a real sustainable agenda that addresses racial inequality?. © 2013 by the authors.","Degrowth; Racial inequality; Restorative justice; Sustainability; Wealth gap","African American; economic growth; market transition; racial disparity; social justice; socioeconomic status; sustainability; theoretical study; United States",Article,"Final","",Scopus,2-s2.0-84882653586
"Sorman A.H., Giampietro M.","45261576100;7004081868;","The energetic metabolism of societies and the degrowth paradigm: Analyzing biophysical constraints and realities",2013,"Journal of Cleaner Production","38",,,"80","93",,72,"10.1016/j.jclepro.2011.11.059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867209808&doi=10.1016%2fj.jclepro.2011.11.059&partnerID=40&md5=aae82a3e6723c00397d1242e16e92268","Institute of Environmental Science and Technology (ICTA), Universitat Autònoma de Barcelona (UAB), 08193 Barcelona, Spain","Sorman, A.H., Institute of Environmental Science and Technology (ICTA), Universitat Autònoma de Barcelona (UAB), 08193 Barcelona, Spain; Giampietro, M., Institute of Environmental Science and Technology (ICTA), Universitat Autònoma de Barcelona (UAB), 08193 Barcelona, Spain","The belief that it is possible to have a perpetual ""economic growth"" based on fossil energy has been challenged since the 1970s. However, only in the last decade is this issue re-emerging once again because of the predicaments of climate change and peak oil. Many, finally start to perceive that an ""economic degrowth"" entailing a downscaling of the current size and pattern of socio-economic systems seem unavoidable. In this paper we analyze the implications, the feasibility and the desirability of possible trajectories of downscaling from an energetic perspective. The quantitative analysis is based on the methodological approach of societal metabolism, and it provides a dynamic accounting of the profile of energy flows required and consumed by societies in relation the expression of a given set of societal functions. This analysis makes it possible to check two types of constraints: external constraints (supply and sink side limits for the whole) and internal constraints (the feasibility of energy budget of the various parts of the society expressing the required functions). The analysis of the metabolic pattern of a sample of developed countries is used to discuss possible implications of: (i) demographic changes; (ii) the declining supply of net energy sources, and (iii) the effects of the Jevons' Paradox. Within such an analysis, a few assumptions and recipes of the degrowth movement seem problematic: (i) population is and will remain as a relevant variable to be considered; (ii) the proposed reduction in working hours seem to be impractical unless a major catastrophe will reset current civilization to pre-industrial standards; and (iii) voluntary reduction of personal energy consumption, even if a welcome adjustment, alone will not solve the existing problems. In the final part of the paper, future energetic road maps are questioned within the realm of post-normal science. Can we ""plan"" degrowth? If we are serious about the need of doing ""something completely different"", societies will have to learn how to deliberate under uncertainty within the realms of flexible management and stop planning for either growth or degrowth. Moreover, before suggesting policies, it would be wise first to try to understand the option space. © 2011 Elsevier Ltd. All rights reserved.","Degrowth; Energetic metabolism; IPAT; Net energy; Societal metabolism","Degrowth; Energetic metabolism; IPAT; Net energy; Societal metabolism; Climate change; Economics; Energy utilization; Metal drawing; Physiology; Societies and institutions; Metabolism",Article,"Final","",Scopus,2-s2.0-84867209808
"Schulz C.","55222420600;","Post-growth economies - (Not) a topic for economic geography? [Post-wachstums-ökonomien - (K)ein thema für die wirtschaftsgeographie?]",2012,"Zeitschrift fur Wirtschaftsgeographie","56","4",,"264","273",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872480897&partnerID=40&md5=95739af86b26b12c09c576c4ab2a6428",,"Schulz, C.","While mainstream economic geography is increasingly doing research on green manufacturing and services, its conceptual approaches merely continue relying on traditional growth paradigms. The paper confronts the partly neo-liberal discourses on the ""green economy"" and ""smart growth"" with the more critical contributions on post-growth economies. The article reveals potential research topics and opportunities for both empirical and conceptual contributions economic geographers could feed into the broader academic and societal debates on economic transition and post-growth paradigms.","Décroissance; Environmental economic geography; Green economy; Post-growth; Smart growth; Transition","conceptual framework; economic geography; economic growth; environmental economics; market transition; sustainable development",Review,"Final","",Scopus,2-s2.0-84872480897
"Van Den Bergh J.C.J.M., Kallis G.","7006196632;8580877300;","Growth, a-growth or degrowth to stay within planetary boundaries?",2012,"Journal of Economic Issues","46","4",,"909","920",,86,"10.2753/JEI0021-3624460404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871401705&doi=10.2753%2fJEI0021-3624460404&partnerID=40&md5=14cdcfe6ef51acc5d99802045a7ce174","ICREA, Institute of Environmental Science and Technology, Universitat Autònoma de Barcelona, Spain","Van Den Bergh, J.C.J.M., ICREA, Institute of Environmental Science and Technology, Universitat Autònoma de Barcelona, Spain; Kallis, G., ICREA, Institute of Environmental Science and Technology, Universitat Autònoma de Barcelona, Spain","The environmental sustainability of economic growth has been subject to much debate for many decades. Recently, two alternatives to the growth paradigm have been put forward: namely, a-growth and degrowth. The first proposes to ignore GDP information and focus instead on sound environmental, social, and economic policies independently of their effects on economic growth. The second recommends a downscaling of the economy so as to make it consistent with biophysical boundaries. We compare these approaches in the context of the growth paradigm and examine whether they have any merit. We further consider the potential contribution of institutional economics to further develop such alternatives. © 2012, Journal of Economic Issues/Association for Evolutionary Economics.","a-growth; degrowth; environmental sustainability; gross domestic product (GDP); growth paradigm",,Article,"Final","",Scopus,2-s2.0-84871401705
