Project acronym,title,abstract
NEEDS,Dynamic Urban Environmental Exposures on Depression and Suicide,"19% of the Dutch population suffer from depression and people affected by depression have a significantly higher suicide risk. Although the World Health Organization attributes modifiable environmental factors including urban environments (i.e. the built, natural and social environments) to health outcomes, they are largely disregarded as either stressors or buffers in scientific debates on depression and suicide. A limitation of current studies is that urban environmental features are often restricted to the neighbourhoods within which people live. This may result in incorrect conclusions about health-influencing factors and inappropriate policies. Human life ultimately unfolds over space-time. people are exposed to multiple urban environments not only during daily life but also over the course of their lives. It is this, not yet assessed spatiotemporal interplay of urban exposures that might revolutionize health assessments. This research aims to understand the interactions between urban environments, depression and suicide in the Netherlands. The scientific breakthrough will be dynamic health geographies embedded in space-time by two innovative case studies. We will investigate the following research questions: What are the associations between depression and the built, natural and social urban environments along people’s daily space-time paths? And what are the associations between suicide and the built, natural and social urban environments of previous residential locations? A multidisciplinary approach combining health, geographic information science and urban geography will lead to this breakthrough. It will be grounded on cutting-edge smartphone-based human tracking, health register data and spatiotemporal modelling. Knowledge about dynamic urban exposures is key to revealing disease aetiologies, advancing health preventions and formulating policies supporting a healthier urban living."
REFORMED,Reforming Schools Globally: A Multi-Scalar Analysis of Autonomy and Accountability Policies in the Education Sector,"Most countries in the world are facing reform pressures to make their education systems more effective and responsive to the new challenges generated by the global economy. In this scenario, managerial policy ideas such as school autonomy and accountability, which aim to modernize public education and strengthen its performance, are spreading broadly. To date, a wide range of countries with different administrative traditions and levels of development have adopted school autonomy with accountability (SAWA) policies, whilst the most active international organizations in the education sector, like the OECD, are strongly promoting them globally. Constituting SAWA as a global model of education reform generates two main questions. First, why and how are SAWA policies disseminating globally, and to what extent does this reform model generate international policy convergence in education? Secondly, how and under what particular contextual and institutional circumstances do SAWA policies work and for whom? The fact that existing scholarly research has achieved inconclusive and mixed findings concerning the SAWA effects on learning outcomes and equity makes this second question especially relevant. To address these gaps in existing literature, REFORMED develops a comprehensive research approach that scrutinizes the different, but mutually constitutive stages of global education policy, from the inception in global agendas stage to their operationalization and effects in multiple contexts. Specifically, the project analyzes how and why SAWA policies are being adopted and re-formulated by policy actors operating at different scales (from international bureaucrats to teachers), and inquires into the institutional frameworks and policy enactment processes that explain the different effects of SAWA at the school level. A robust and multi-scalar methodological strategy that combines quantitative and qualitative methods will contribute to advancing such an innovative approach."
JUDI-ARCH,The Rise of Judicial Self-Government: Changing the Architecture of Separation of Powers without an Architect,"Many European states have transferred decision-making powers regarding court administration and the career of a judge from political bodies to special organs in which judges have a major say. Judicial councils and other bodies of judicial self-government (JSG) spread particularly quickly during the European Union (EU) Accession Process. However, the effects of these bodies are not fully understood, as the traditional descriptive and normative scholarship is not able to capture them. JUDI-ARCH will fill this gap and address the implications of this phenomenon for the “new” as well as “old” EU member states. The central research question of JUDI-ARCH is: how the rise of JSG has changed the concept of separation of powers? More specifically, the JUDI-ARCH proposal consists of three interrelated research aims. The first is to assess the impact of JSG on public confidence in and the independence, accountability, transparency and legitimacy of the domestic judiciaries of 14 European states and the two European supranational courts, both the actual and the perceived. The second aim is to examine what impact the rulings of the European Court of Human Rights (ECtHR) and the Court of Justice of the European Union (CJEU) have had on domestic judicial design and, vice versa, how has domestic judicial design affected the selection of judges of the ECtHR and the CJEU. The third overarching aim is to analyse the impact of JSG on the concept of separation of powers. A major innovation in our approach will be the integration of comparative legal perspective with sociological and political science approaches. We will conduct in-depth conceptual, qualitative and quantitative case studies on the impact of different models of JSG in both “new” and “old” EU Member States, including longitudinal quantitative analysis of the use of mechanisms of judicial independence and accountability before and after the creation of a JSG body and in-depth elite interviews."
urban-rev politics,The Urban Revolution and the Political,"This project is a transnational and comparative study of the political implications of the contemporary ‘urban revolution,’ namely the sweeping socio-cultural, economic, and territorial transformations through which the urban becomes the predominant mode of existence of societies across the world. Across the social sciences and as well as journalistic literatures, there has been a remarkable proliferation of debates around the social and ecological implications of contemporary urbanization. What is largely missing in these timely debates, however, is any systematic and in-depth engagement with the political significance of the ongoing ‘urban revolution.’ This is due to a lack of systematic research and theoretical engagement regarding the unprecedented prominence of accumulation regimes based on the speculative production, trade and consumption of space. Similarly, extant theoretical tools of urban political analysis fall short of conceptualizing the increasingly planetary nature of privatization and exploitation of the urban and their intricate links to global finance. In addressing these gaps the project advances two overarching goals: 1. to develop conceptual tools for and comparative insights into the increasingly dominant urban-based accumulation regimes, and 2. to advance the politicization of academic and public discourses on the planetary urban condition. I propose three relational levels (extended moments) of analysis, which respectively focus on the finance/real-estate/state nexus, the exploitation of the urban, and the emerging spaces of the political. These correspond to three subprojects that focus on transnational, everyday, and political dimensions of the urban revolution. The methodological approach will be multi-sited global ethnography, which will combine ethnographies of place-based relations and transnational networks. Filmmaking will be used not only as a research method but also as a storytelling medium."
BROKERS,Participatory Urban Governance between Democracy and Clientelism: Brokers and (In)formal Politics,"The emergence of participatory governance has resulted in the delegation of governmental responsibilities to citizens. Individuals position themselves as voluntary mediators, or brokers, between the government and their fellow citizens. This research asks: what are the roles of such brokers in participatory urban governance, and how do they influence democratic governance? This study will investigate ethnographically how brokers position themselves in administrative schemes, and examine the formal and informal dimensions of their performance. It will analyse the practices, discourses and networks, both in and out of officially sanctioned channels and government institutions. The research approaches brokers as ‘assemblers’, connective agents who actively bring together different governmental and citizen actors, institutions and resources. The scholarly debate on brokerage within participatory governance is divided into two different arguments: first, an argument about neoliberal deregulation located in the Global North, which encourages the practices of active citizen-mediators, and second, a modernization argument in the Global South, which sees brokers as remnants of a clientelist political system. This research will combine these arguments to study settings in both the North and the South. It employs a comparative urbanism design to study four cities that are recognized as pioneers in democratic participatory governance, two in the North and two in the South: Rotterdam (NL), Manchester (UK), Cochabamba (Bolivia) and Recife (Brazil). This research builds upon theories from political anthropology, urban studies, citizenship studies and public administration to develop a new framework for analysing brokerage in participatory urban governance. Understanding how the formal and informal dimensions of participatory governance are entwined will contribute to our ability to theorize the conditions under which this type of governance can give rise to more democratic cities."
SNSNEWS,The new flow of news : how social network sites transform news organization and citizens political behavior,"News industry is undergoing a major transition: Traditional news consumption is on the decline, while citizens increasingly turn their attention to social network sites (SNSs). To accommodate this trend, news industry has been incorporating SNSs into its platforms, changing news into a social product. The project will explore this process and reveal its implications for news production and audiences’ political behavior. I develop a new model anchored in network logic and involving three key actors in news creation and distribution: news organizations, which are adapting news production to the logic of sharing. news feeders – users who select and disseminate news stories, thereby serving as a bridge between their online followers and news organizations. and news feedees – individuals whose news consumption is limited to stories fetched for them by feeders in their SNSs. The model points to some long-term effects on individuals' political beliefs and behavior as a consequence of acting as feeders or feedees. Multiple innovative methods will be employed, some of which will be implemented in the field of media and political studies for the first time. The methods are mutually complementary, combining ‘big data’ analysis with small-N in-depth designs. To study news organizations, I will interview news editors and analyze traffic data juxtaposing it against content analysis. To study users’ behavior and identify feeders and feedees, I will conduct a laboratory observation in which surfing behavior and physiological attention indices will be measured unobtrusively. Long-term political effects will be tested using a combination of survey panel data and web-based behavioral data spanning a period of two years. The proposal is theoretically and empirically innovative and can impact future research by providing novel conceptualization of news distribution, consumption and influence, as well as by introducing a new methodological ‘golden standard’ to audience research."
PRILA,"Prisons: the Rule of Law, Accountability and Rights","PRILA will create the first account of how mechanisms for securing rights, ensuring accountability and achieving adherence to the rule of law are experienced in European prisons. Prisons are places where considerable power differentials exist, and are unique sites for the expression of the values which underpin public and prison law. Systems to ensure that prisoners are treated fairly and that rights are upheld are essential to ensure that imprisonment is conducted in ways that are just and promote good order. These are fundamental principles of the ‘European’ way in penal policy and penal law. Existing accounts of the deployment of penal power overlook key elements of how accountability, the rule of law, and rights are experienced. PRILA will document how prisoners, prison staff, staff of accountability bodies experience structures for ensuring decisions and actions taken in prison are fair, transparent, consistent, subject to appeal and review, and in compliance with principles of human rights. In doing so, PRILA will transform and extend accounts of legitimacy in prisons, judicial review of administrative action, the pains of imprisonment, and understandings of how penal power is experienced. Drawing on the disciplines of public and prison law, human rights, comparative law, and the sociology of punishment, the project will utilise legal, qualitative and quantitative research methods to create an account of how ‘accountability work’ is experienced. It will also examine how accountability structures are manifestations of penal ideologies or types of prison regimes. The project will advance current judicial and legal conceptions of accountability, the rule of law, and fairness, by reference to how these concepts are experienced in practice, and examine whether and how they are distinctively ‘European’. The project will thereby support the creation of better penal policies and practices aimed at the protection of the rule of law and rights in the prison context."
MiTSoPro,Migration and Transnational Social Protection in (post-)crisis Europe,"The negative employment and social developments across Europe since the start of the crisis, coupled with increased fiscal constraints and changing migration patterns, have led to increasing depictions of EU and third-country immigrants as ‘abusers’ of their social protection systems. Member States have accordingly sought reduce migrants’ ability to access social protection benefits, despite the fact that they are disproportionately at risk of poverty and social exclusion. This project looks at the different strategies that migrants have to access social protection within (post) crisis Europe and does so by explicitly integrating social policy and migration studies’ approaches on the phenomenon. More precisely, it aims to study transnational social protection, that we define as migrants’ cross-border strategies to cope with social risks in areas such as health, long-term care, pensions or unemployment that combine entitlements to host and home state-based public welfare policies and market-, family- and community-based practices. This study thus consists in, first, identifying the social protection policies and programs that home countries make accessible to their citizens abroad, and then compiling this information into an online database. We will then aggregate the results of the database into a Transnational Social Protection Index (TSPIx) in order to determine the overall level of engagement of each state with citizens abroad in a comparative way. Second, on the basis of the results of the index, we will select case studies of migrants from two EU and two non-EU countries that vary in their level of engagement in providing social protection to their citizens abroad. We will then undertake multi-sited ethnographic fieldwork to qualitatively assess the informal social protection strategies used by migrants and examine their interaction with formal host and home state social protection provision."
BAR2LEGAB,Women travelling to seek abortion care in Europe: the impact of barriers to legal abortion on women living in countries with ostensibly liberal abortion laws,"In many European countries with ostensibly liberal abortion laws, women face legal restrictions to abortion beyond the first trimester of pregnancy, as well as other barriers to legal abortion, in particular shortages of providers willing and able to offer abortion due to poor training and to conscientious objection among physicians. The Council of Europe has recognized that conscientious objection can make access to safe abortion more difficult or impossible, particularly in rural areas and for low income women, who are forced to travel far to seek abortion care, including abroad. The WHO also highlights that delaying abortion care increases risks for women’s reproductive health. Despite the relevance of this topic from a public health and human rights perspective, the impact of procedural and social barriers to legal abortion on women in countries with ostensibly liberal abortion laws has not been studied by social scientists in Europe. This five-year research project is envisaged as a ground-breaking multi-disciplinary, mixed-methods investigation that will fill this gap, by capitalizing on previous, pioneer anthropological research of the PI on abortion and conscientious objection. It will contribute to the anthropology of reproduction in Europe, and particularly to the existing literature on abortion, conscientious objection and the medicalization of reproduction, and to the international debate on gender inequalities and citizenship, by exploring how barriers to legal abortion are constructed and how women embody and challenge them in different countries, by travelling or seeking illegal abortion, as well as their conceptualizations of abortion and their self perception as moral/political subjects. The project will be carried out in France, Italy and Spain, where the few existing studies show that women face several barriers to legal abortion as well as in the UK, the Netherlands and Spain, where Italian and French women travel to seek abortion care."
CASSPIN,Comparative Analysis of Social Spaces in Post-Industrial Nations,"The proposed research has two overarching objectives. First, it aims to examine whether it is possible and appropriate to extend a novel way of measuring social class recently devised for the United Kingdom to other post-industrial nations for the purposes of cross-national comparative research. If it is, the project will begin to explore, through secondary and primary analysis of large-scale survey data, the different shapes and trajectories of the class structures – or ‘social spaces’ – of various nation states. This will involve examination of which classes and sub-classes predominate and which have emerged or declined, as well as the different gender and ethnic/nationality constitutions of the classes and the distinct effects these differences have for understanding cultural and political struggles and, ultimately, the distribution of power or ‘recognition’ in each country. Second, the project aims to explore, through both statistical analysis and qualitative interviews, how social class is actually lived, experienced and balanced against other pressures and sources of recognition in everyday life, with a focus on three specific nations: the United States, Germany and Sweden. Of particular interest in this respect is the balancing of desire for recognition through money and education – the two cornerstones of social class in post-industrial capitalist societies – and their associated lifestyles with desires for recognition and love within the family. The comparative analysis included in both research aims will be guided by the hypothesis that national differences depend on the nature of the welfare regime in operation, especially as it relates to the nature and extent of workforce feminisation, though the research will also be alive to the possibility of alternative – or no significant – sources of contrast."
DIPLOFACE,Diplomatic Face-Work - between confidential negotiations and public display,"The rise of social media, coupled with intensifying demands for more transparency and democracy in world politics, brings new challenges to international diplomacy. State leaders and diplomats continue to react to traditional media, but now also attempt to present themselves proactively through tweets, public diplomacy and nation branding. These efforts often take place simultaneously and sometimes interfere directly with closed-door negotiations and its culture of restraint and secrecy. Yet the relationship between confidential diplomacy and public representation remains understudied. DIPLOFACE will develop a sociologically and anthropologically informed approach to studying how state leaders and diplomats manage their nation’s ‘faces’ in the information age. The project will explore the relationship and tensions between confidential diplomatic negotiations and publicly displayed interventions in various media, applying the micro-sociological concept of ‘face-work’. DIPLOFACE will analyse the complex interactional dynamics that shape the diplomatic techniques and strategies used to convey a nation’s ‘face’ or ‘image of self’. Such face-work is increasingly important for national leaders and diplomats who perform simultaneously on the ‘back-stage’ and the ‘front-stage’ of international relations. DIPLOFACE will identify, theorize and analyse the repertoire of face-saving, face-honouring and face-threatening practices that are employed in confidential negotiations and in public. DIPLOFACE advances our theoretical understanding of diplomacy in the 21st century significantly beyond existing International Relations and diplomatic theory. Combining participant observation, interviews and media analysis, DIPLOFACE will generate important new knowledge about the relationship between public and confidential multilateral negotiation, how state leaders and diplomats handle new media, and the role of face-saving and face-threatening strategies in international relations."
CLIMASLOW,Slowing Down Climate Change: Combining Climate Law and Climate Science to Identify the Best Options to Reduce Emissions of Short-Lived Climate Forcers in Developing Countries,"The ClimaSlow project opens new interdisciplinary horizons to identify the best opportunities to enhance the global legal and regulatory framework for reducing emissions of short-lived climate pollutants (SLCFs), with particular attention to developing countries as projected key sources of future SLCF emissions. It proceeds from the assumption that strengthening the global legal and regulatory framework for SLCFs would bring important benefits in terms of slowing down climate change and reducing local air pollution. However, legal and regulatory options to step up action on SLCFs have not been studied comprehensively. Furthermore, the climate impacts of the various options are not adequately understood. In contrast to traditional legal analysis that would focus one legal system or instrument, the project will study the relevant legal and regulatory frameworks comprehensively, considering the international, regional, national and transnational levels. It will seek to identify various options, both formal legal instruments and informal regulatory initiatives, to strengthen the global legal and regulatory frameworks applicable to SLCFs. In addition to providing information on best options to regulate SLCFs, this novel, comprehensive approach will help scholars to improve their understanding of the implications of ongoing changes in global legal landscape, including its presumed fragmentation and deformalisation. Addressing an important gap in current knowledge, the project will combine analysis of the merits of the various legal and regulatory options with estimates of their climate change impacts on the basis of climate modeling. This way, it will be able to identify the alternatives that are the most promising both from the legal point of view and in terms of climate change mitigation potential. The project will generate information that is policy-relevant and context-specific but can simultaneously provide broader lessons and open new interdisciplinary horizons."
CBTC,The Resurgence in Wage Inequality and Technological Change: A New Approach,"Social-science explanations for rising wage inequality have reached a dead end. Most economists argue that computerization has been primarily responsible, while on the other side of the argument are sociologists and political scientists who stress the role of political forces in the evolution process of wages. I would like to use my knowledge and experience to come up with an original theory on the complex dynamics between technology and politics in order to solve two unsettled questions regarding the role of computerization in rising wage inequality: First, how can computerization, which diffused simultaneously in rich countries, explain the divergent inequality trends in Europe and the United States? Second, what are the mechanisms behind the well-known observed positive correlation between computers and earnings? To answer the first question, I develop a new institutional agenda stating that politics, broadly defined, mitigates the effects of technological change on wages by stimulating norms of fair pay and equity. To answer the second question, I propose a truly novel perspective that conceptualizes the earnings advantage that derives from computerization around access to and control of information on the production process. Capitalizing on this new perspective, I develop a new approach to measuring computerization to capture the form of workers’ interaction with computers at work, and build a research strategy for analysing the effect of computerization on wages across countries and workplaces, and over time. This research project challenges the common understanding of technology’s role in producing economic inequality, and would thereby significantly impact all of the abovementioned disciplines, which are debating over the upswing in wage inequality, as well as public policy, which discusses what should be done to confront the resurgence of income inequality."
MobileKids,Children in multi-local post-separation families,"This project focuses on the experience of two cohorts of children aged 10 to 16 who are living in multi-local, post-separation families in Belgium, in France and in Italy, that is, families where the mother and the father are either divorced or separated, live in different households in the same country, and share the physical custody of their child(ren). A major goal of this project is to investigate the diversity of children’s experience of multi-local family life and identify their specific needs, through children’s own accounts of their lives. This means understanding if, and under what circumstances, children appropriate their multi-local lives and develop an habitus that incorporates the capacity to maintain social relations in a multi-local context and to appropriate mobility and virtual connectedness. The project combines three levels of analysis: the macro-level of policies, the meso-level of family environments (family resources, cultures and practices. and spatial contexts), and the micro-level of children’s lives, which consists in examining how children maintain their social and family relationships as they move with various temporalities between two households that are located in specific administrative territories and spatial entities. This means understanding how children’s interpersonal relationships and networks of significant others shape, and are re-shaped by their mobility in post-separation families. and the interconnections between geographical and virtual mobility. The study combines four methods: a policy analysis of multilocality, secondary data analysis of relevant databases, semi-structured interviews with children’s mothers and fathers, and a qualitative, in-depth study of the lived experiences of children."
SOGICA,Sexual Orientation and Gender Identity Claims of Asylum: A European human rights challenge,"This project will generate the first ever theoretically and empirically-grounded comparative and comprehensive picture of the status and legal experiences of asylum-seekers across Europe claiming international protection on the basis of their sexual orientation or gender identity (SOGI), and determine how the European asylum systems can treat more fairly asylum claims based on the claimant’s SOGI. Every year, thousands of individuals claim asylum in Europe based on their SOGI, and more often than not their claims are treated unfairly, especially considering the disproportionately high rate of refusals on these grounds. There have been very limited attempts to address this issue, and this research will overcome this gap by carrying out a study more comprehensive than any other done in this field in the past, and producing outcomes that are unparalleled in terms of their reach. My main objectives are: 1) to analyse how SOGI related claims are adjudicated in different asylum legal European frameworks (EU, CoE, Germany, Italy, UK), and 2) to produce detailed policy recommendations in regard to the national, European Union and Council of Europe asylum adjudication systems, to the effect of developing a system that addresses adequately the socio-cultural, gender identity and sexual diversity of asylum-seekers. For the first time, a combined comparative, interdisciplinary (socio-legal), human rights and empirical approach will be adopted to research this field, which requires a substantial long period of research and sustained funding. This approach ensures the unique character of the findings and their impact on improving the current law, policy and decision-making regarding SOGI asylum claims, which are increasingly under close scrutiny across Europe. I am in a unique position to achieve these objectives, in the light of my experience with publications , projects and NGOs in the field of human rights and refugees from socio-legal, empirical and European perspectives."
HOMInG,"The Home-Migration Nexus: Home as a Window on Migrant Belonging, Integration and Circulation","The experience of home lies at the core of everyday life, but only through migration is it revealed as a complex and elusive social construction, whose micro analysis illuminates macro social issues and problems. How home works in the life trajectories of those who left it behind, and what the search for home says of immigrant integration and of the influence of mobility on domesticity, are the central questions of HOMInG. By deconstructing the tension between the static face of home and the dynamic face of migrant lives, this programme marks a turning point in the study of the social and emotional appropriation of space. It builds on a mixed-method research design on home as experienced by labour and forced migrants, under different household arrangements, compared across several countries and groups of reference. HOMInG’s objectives are to: 1. Analyze migrant “ways of homing” in a multi-sited and comparative framework, highlighting the distinctive influence of ethnicity and mobility on the home experience. 2. Advance the theoretical connection between home, mobility and circulation, by understanding how (far) the physical, relational and emotional bases of home are reproduced over space, and how (far) pre-existing home cultures are affected by transnational migration. 3. Implement a research design that innovates the comparative study of belonging and place attachment among mobile and sedentary populations. 4. Assess the conditions under which private and public spaces may be more or less conducive to an inclusive home experience – marked by familiarity, security, routine – in migrants’ and natives’ everyday lives. HOMInG breaks new ground in migration, mobility and home studies, by demonstrating how apparently mundane details, such as the ways of experiencing home, provide an original research window into social change in multi-ethnic societies. Based on unprecedented cross-country data, it will enable a fresh understanding of home, as affected by migration."
DomEQUAL,A Global Approach to Paid Domestic Work and Social Inequalities,"How does globalisation impact the construction of social inequality? DomEQUAL tackles this question through a study on paid domestic work (PDW). Of the 52.6 million PDWs in the world today, 43 million are women and 7 million are children. The multidimensional transformations brought about by globalisation with the intensification of international migration, the urbanisation of rural and indigenous populations, and changes in household organisation and welfare regimes have a massive impact on PDWs at the global level. New research possibilities are open since PDW has become an object of global governance. The ILO Convention 189 is the most evident sign of this. For researchers, this has the important effect of making new data and tools for analysis available. DomEQUAL profits from this opportunity to provide a global comparison of PDWs’ social positions, especially in the socio-economic and legal fields. It also provides the opportunity to experiment an ‘intersectionality’ approach to PDW on a large scale. Finally, it analyses which type of global/local actor is more effective in improving the legal framework for PDWs. In so doing, it aims at a theoretical and methodological contribution that goes beyond PDW and addresses the construction of social inequalities within globalisation more generally. This is done through a diachronic comparison (1950s-now) of the changing situation of PDWs in the following countries: Spain, Italy and Germany in Europe. Colombia, Ecuador and Brazil in South America. and India, the Philippines and Taiwan in Asia. These nine countries are interesting cases for comparison because of their different positions within the process of globalisation, the specificities of their socio-cultural contexts, and also because they have all experienced mobilisations for PDWs’ rights. The project will be carried out by the PI and two senior post-doc researchers based in Italy, with the support of nine experts in the selected countries."
RESPONSIVENESS,"The Microfoundations of Authoritarian Responsiveness: E-Participation, Social Unrest and Public Policy in China","China’s success story of the past three decades is seen as an anomaly. Market-based reforms have generated an economic system that can hardly be described as socialist anymore, but the Communist Party of China remains in power. Although social unrest is on the rise, the CCP enjoys the consent of the overwhelming majority of its people. Most agree that China’s economic performance is the key to solving this apparent puzzle, but how can extraordinary high rates of public support be maintained in a country where income inequality is so extreme? We believe that the answer to this question lies in the responsiveness of China’s authoritarian one-party regime to popular demands and grievances, a capability that has so far been attributed only to democratic regimes. We further believe that the rapid improvement of e-participation, the opportunity to evaluate public services on the Internet, has greatly facilitated regime responsiveness - China’s score in the United Nations e-participation index is higher than the European average. We suggest, however, that as the government increasingly calibrates public policy towards satisfying the demand of China’s netizens, the technologically illiterate are forced to express their demands in public protests and other forms of social unrest. The proposed project sheds light on the intended and unintended consequences of enhanced e-participation in China by exploring which social interests China’s rulers incorporate into public policy making, and how these decisions influence the propensity of particular social groups to voice their demands by either participating online or taking to the streets. By exploring the “complex system” in which online complaints, social unrest and public policy interact, the project provides insights into the micro-foundations of regime responsiveness in China. It thereby increases our knowledge of how the CCP seeks to defer the antagonism that prompted the revolutions in Egypt, Tunisia and Syria."
EXPOVIBE,Exposure to Political Violence and Individual Behavior,"This project will explore how exposure to political violence in a civil conflict context impacts upon social, economic and political behavior of individuals. It has three legs. In the first leg I will analyze the association between political and domestic violence. Specifically, I will test the hypothesis that those exposed to political violence are more likely to be perpetrators of domestic violence. In the second leg I will analyze whether exposure to political violence impacts upon economic behavior. Specifically, I will analyze the impact of exposure on risk, time and social preferences, savings behavior, employment, and earnings. Finally, in the third leg I will look into political behavior. Specifically, I will analyze the association between exposure to political violence and political participation and support, political tolerance, ideology, voting behavior, and party choice. The project will make use of a natural experiment setting that the institutional setup and the long-running civil conflict in Turkey create. Turkey has a mandatory military service system that requires each Turkish man, when he comes to age, to serve in the army for about a year. Those drafted are first subject to a basic training program and then, via a lottery, are randomly assigned to military bases all over the country to serve the rest of their terms. This means a young soldier can be sent to a military base in Eastern or Southeastern Turkey where a bloody armed conflict between the Turkish armed forces and the insurgent organization PKK has been going on since August 1984, and thus, can get actively involved in the armed conflict. This is a natural experiment setting that randomly exposes young Turkish males to political violence. In this project I aim to study whether and how that exposure impacts upon social, economic and political behavior of the exposed. To accomplish these goals, two independent, large-n survey studies will be designed and conducted in Turkey."
INTERACT,"INTerEthnic Relationships in contemporAry CommuniTies: How does ethnoracial diversity affect in- and out-group trust, solidarity, and cooperation","The increasingly multiethnic nature of modern societies has spurred academic interest in the consequences of diversity. Recent scholarship has linked ethnoracial diversity to undesirable collective outcomes, e.g., low levels of trust, civic engagement, and social capital. These findings have important policy implications, in part because they resonate with public anxieties about immigration, residential integration, and the role of the welfare state. The proposed research will investigate the micro-mechanisms through which contact promotes or impedes solidarity and cooperation in diverse communities. More generally, this research moves beyond communitarian conceptions of social capital to understand the building blocks of solidarity in contemporary, diverse societies. To investigate the micro-level dynamics that link intergroup contact to solidarity and cooperation, this project takes an innovative field-experimental approach, which moves beyond observational data. In particular, the project uses lab-in-the-field experimental games to assess the dispositional mechanisms – such as generalized altruism, group solidarity, reciprocity, and sanctioning – that bring about solidarity and cooperation in various group settings. This revised version of the proposal addresses all the panel observations and implements changes accordingly. First, I have limited the research to project 3 (P3), and cut projects 1 (P1) and 2 (P2). Second, the duration of the project has been reduced to 48 months. Third, all expenses related to P1 and P2 have been cut."
aidsocpro,Aiding Social Protection: the political economy of externally financing social policy in developing countries,"This research proposal explores the political economy of international development assistance (aid) directed towards social expenditures, examined through the lens of a particular financial quandary that has been ignored in the literature despite having important economic and political repercussions. The quandary is that aid cannot be directly spent on expenditures denominated in domestic currency. Instead, aid needs to be first converted into domestic currency whereas the foreign exchange provided is used for other purposes, resulting in a process prone to complex politics regarding domestic monetary policy and spending commitments. The implications require a serious rethink of many of the accepted premises in the political economy of aid and related literatures. It is urgent to engage in this rethinking given tensions between two dynamics in the current global political economy: a tightening financial cycle facing developing countries versus an increasing emphasis in international development agendas of directing aid towards social expenditures. The financial quandary might exacerbate these tensions, restricting recipient government policy space despite donor commitments of respecting national ownership. The proposed research examines these implications through the emerging social protection agenda among donors, which serves as an ideal policy case given that social protection expenditures are almost entirely based on domestic currency. This will be researched through a mixed-method comparative case study of six developing countries, combining quantitative analysis of balance of payments and financing constraints with qualitative process tracing based on elite interviews and documentary research. The objective is to re-orient our thinking on these issues for a deeper appreciation of the systemic political and economic challenges facing global redistribution towards poorer countries, particularly with respect to the forthcoming Sustainable Development Goals."
HERITAGE,Cultural Heritage and Economic Development in International and European Law,"Can states promote economic development without infringing upon their cultural heritage? Although economic globalization and international economic governance have spurred a more intense dialogue and interaction among nations - potentially promoting cultural diversity and providing the funds to recover and preserve cultural heritage - these phenomena can also jeopardize the cultural wealth of nations. Trade in cultural products can lead to cultural homogenization and even to cultural hegemony. In parallel, foreign direct investments have an unmatched penetrating force with the ultimate capacity of changing landscapes and erasing memory. At the same time, the increase in global trade, economic integration and foreign direct investment has determined the creation of legally binding and highly effective regimes that demand states to promote and facilitate trade and foreign direct investment. Has an international economic culture emerged that emphasizes productivity and economic development at the expense of cultural wealth? Does the existing legal framework adequately protect the cultural wealth of nations vis-à-vis economic globalization? Could existing mechanisms in international and European law constrain negative effects of globalization? HERITAGE aims to map the interaction between economic globalization and each specimen of cultural heritage - world heritage, cultural diversity, intangible cultural heritage, indigenous heritage and underwater cultural heritage - in international and European law by investigating the relevant case law before international courts and tribunals. The study adopts an interdisciplinary approach. the relevant cases will be investigated in consideration of both their legal and cultural relevance. The main outcome of this research project will be a monograph written by the principal investigator to be published by a major international publisher. and a number of articles to be published in major international journals."
